,Name_collection,N_elements,Rank,Score,Items,Price
389,doodles-official,6201,5956,79.2824,5,26.419999999999995
390,doodles-official,6214,8628,66.8719,5,42.69
391,doodles-official,6217,2096,139.8348,6,28.15
392,doodles-official,6234,4404,92.8957,5,30.0
393,doodles-official,6241,1002,191.793,6,34.0
394,doodles-official,6245,549,218.9741,6,30.0
395,doodles-official,6257,3384,125.0641,5,39.99999999999999
396,doodles-official,6277,1299,161.0273,6,100.0
397,doodles-official,6310,1177,167.8377,5,50.0
398,doodles-official,6319,1230,164.0015,5,39.99999999999999
399,doodles-official,6324,4537,91.5671,5,24.689999999999998
400,doodles-official,6351,582,215.2127,6,42.69
401,doodles-official,6354,7682,69.7047,5,39.99999999999999
402,doodles-official,6382,9768,64.7184,5,50.0
403,doodles-official,6394,1565,153.5222,6,35.00000000000001
404,doodles-official,6419,5771,81.3062,5,28.665999999999997
405,doodles-official,6420,446,243.7142,6,68.99999999999999
406,doodles-official,6427,1296,161.1009,6,30.0
407,doodles-official,6429,3646,107.861,5,35.00000000000001
408,doodles-official,6434,7231,71.271,5,35.00000000000001
409,doodles-official,6462,5885,80.0965,5,30.1
410,doodles-official,6475,1525,154.6107,5,44.440000000000005
411,doodles-official,6485,2215,138.3917,6,32.49999999999999
412,doodles-official,6488,1717,150.3588,6,28.880000000000003
413,doodles-official,6495,2568,134.5702,5,29.99000000000001
414,doodles-official,6513,3095,130.818,6,39.99999999999999
415,doodles-official,6516,8595,66.948,5,37.71
416,doodles-official,6534,2254,138.0185,6,38.9
417,doodles-official,6544,4428,92.7032,5,36.49999999999999
419,doodles-official,6562,6106,77.6069,5,50.0
420,doodles-official,6573,6125,77.329,5,24.689999999999998
421,doodles-official,6592,4431,92.675,5,35.00000000000001
422,doodles-official,6605,1265,162.2983,6,69.42
423,doodles-official,6606,365,523.1625,3,69.69000000000001
424,doodles-official,6617,212,733.0478,3,99.68999999999998
425,doodles-official,6625,2591,134.2709,6,55.00000000000001
426,doodles-official,6629,9710,64.9069,5,28.99
427,doodles-official,6632,5445,84.7048,5,28.3
428,doodles-official,6640,3706,105.5688,5,35.99999999999999
429,doodles-official,6653,5936,79.493,5,44.99999999999999
430,doodles-official,6658,6272,75.4773,5,32.0
431,doodles-official,6659,8048,68.1494,5,34.7
432,doodles-official,6679,4280,94.3346,5,35.00000000000001
433,doodles-official,6680,5709,82.0606,5,32.0
434,doodles-official,6687,3676,106.6404,5,31.99
435,doodles-official,6709,5668,82.4683,5,35.00000000000001
436,doodles-official,6724,620,212.5536,6,36.99999999999999
437,doodles-official,6727,9348,65.691,5,32.0
438,doodles-official,6732,7112,71.5875,5,1000.0
439,doodles-official,6741,1309,160.7126,6,31.18
440,doodles-official,6766,4789,88.9786,5,25.0
441,doodles-official,6816,5725,81.8686,5,39.80000000000001
442,doodles-official,6838,1829,147.0623,6,35.00000000000001
443,doodles-official,6858,5990,78.819,5,316.0
444,doodles-official,6929,3322,128.983,6,42.69
445,doodles-official,6933,2597,134.2007,6,44.99999999999999
446,doodles-official,6936,59,1421.2227,3,96.69
447,doodles-official,6977,5089,86.8553,5,66.0
448,doodles-official,6985,1724,150.0762,6,28.350000000000005
449,doodles-official,6986,7903,68.6754,5,149.99999999999997
450,doodles-official,7000,464,237.6671,6,44.99999999999999
451,doodles-official,7005,8886,66.435,5,26.0
452,doodles-official,7018,301,554.7142,3,74.99999999999999
453,doodles-official,7069,5131,86.6302,5,32.0
454,doodles-official,7084,3481,116.9768,5,50.0
456,doodles-official,7120,4271,94.4032,5,74.99999999999999
457,doodles-official,7145,3713,105.2665,5,30.0
458,doodles-official,7199,2150,139.1894,6,81.0
459,doodles-official,7232,5389,85.1872,5,38.00000000000001
460,doodles-official,7236,2877,132.0669,6,39.0
461,doodles-official,7243,3648,107.8317,5,100.0
462,doodles-official,7250,5700,82.1635,5,25.89
463,doodles-official,7255,4189,95.5854,5,44.99999999999999
464,doodles-official,7259,240,694.6362,3,59.99999999999999
465,doodles-official,7278,8878,66.4484,5,35.00000000000001
466,doodles-official,7294,817,197.4203,6,42.06899999999999
467,doodles-official,7325,2118,139.5585,5,33.0
468,doodles-official,7331,6981,72.006,5,28.000000000000004
469,doodles-official,7345,746,200.1801,6,77.76999999999998
470,doodles-official,7351,1334,160.1401,5,35.99999999999999
471,doodles-official,7400,2698,133.296,6,29.9
472,doodles-official,7406,4457,92.4648,5,29.40000000000001
473,doodles-official,7480,2466,135.6092,6,39.0
474,doodles-official,7482,3712,105.2939,5,44.99999999999999
475,doodles-official,7489,44,1885.0518,5,272.00000000000006
476,doodles-official,7499,1120,171.7055,6,100.0
477,doodles-official,7506,6878,72.3454,5,28.45
478,doodles-official,7521,2017,141.4656,6,36.99999999999999
479,doodles-official,7551,2136,139.2956,6,55.00000000000001
480,doodles-official,7555,1151,169.4242,5,64.99999999999999
481,doodles-official,7560,36,4422.05,5,969.6899999999998
482,doodles-official,7568,1478,155.6979,6,42.69
483,doodles-official,7569,1431,156.9511,6,1000.0
484,doodles-official,7570,4760,89.2466,5,33.900000000000006
485,doodles-official,7573,1,25309.3151,5,2800.0000000000005
486,doodles-official,7586,214,732.9894,3,130.0
487,doodles-official,7602,4550,91.4507,5,27.500000000000004
488,doodles-official,7607,2764,132.782,6,34.56699999999999
489,doodles-official,7621,1711,150.5899,5,39.99999999999999
490,doodles-official,7629,2000,141.8813,6,29.42
491,doodles-official,7657,221,722.1206,3,225.0
492,doodles-official,7658,207,733.515,3,78.99999999999999
493,doodles-official,7663,6597,73.3719,5,26.0
494,doodles-official,7676,1351,159.57,5,33.0
495,doodles-official,7698,5535,83.9692,5,24.5
496,doodles-official,7704,5945,79.3575,5,27.0
497,doodles-official,7716,1388,158.1353,6,35.00000000000001
498,doodles-official,7738,1138,170.517,6,48.0
499,doodles-official,7743,2959,131.5765,6,44.99999999999999
500,doodles-official,7745,1093,174.7834,6,34.49999999999999
501,doodles-official,7746,5533,83.9796,5,55.555
502,doodles-official,7756,1422,157.236,6,29.42
503,doodles-official,7760,371,521.535,3,110.0
504,doodles-official,7768,1871,145.3202,5,29.0
505,doodles-official,7770,1453,156.3637,5,50.0
506,doodles-official,7794,7627,69.9228,5,50.0
507,doodles-official,7801,553,218.5749,6,50.0
508,doodles-official,7802,74,1185.7517,5,200.0
509,doodles-official,7824,357,526.2994,3,69.42
510,doodles-official,7833,157,769.1994,4,50.0
511,doodles-official,7836,7931,68.5668,5,30.0
513,doodles-official,7847,5905,79.875,5,50.0
514,doodles-official,7866,3810,101.9257,5,29.920000000000005
515,doodles-official,7874,367,521.8679,3,64.99999999999999
517,doodles-official,7952,9795,64.6351,5,36.9
